<Raw_Data>	
Run Time	DRI on channel 17
0	0.12069702148438
1	0.130615234375
2	0.12588500976563
3	0.13687133789063
4	0.15350341796875
5	0.16464233398438
6	0.16525268554688
7	0.17547607421875
8	0.17608642578125
9	0.15182495117188
10	0.15625
11	0.17425537109375
12	0.1708984375
13	0.16937255859375
14	0.20843505859375
15	0.20706176757813
16	0.1922607421875
17	0.2520751953125
18	0.28640747070313
19	0.26596069335938
20	0.2703857421875
21	0.255126953125
22	0.2630615234375
23	0.22781372070313
24	0.23818969726563
25	0.2642822265625
26	0.27572631835938
27	0.30242919921875
28	0.26809692382813
29	0.26748657226563
30	0.27877807617188
31	0.28076171875
32	0.2789306640625
33	0.27633666992188
34	0.27938842773438
35	0.28610229492188
36	0.27969360351563
37	0.294189453125
38	0.30975341796875
39	0.29876708984375
40	0.31768798828125
41	0.34210205078125
42	0.333251953125
43	0.3369140625
44	0.33233642578125
45	0.32394409179688
46	0.29052734375
47	0.30105590820313
48	0.3155517578125
49	0.28778076171875
50	0.29296875
51	0.30929565429688
52	0.29983520507813
53	0.30853271484375
54	0.32073974609375
55	0.32272338867188
56	0.35293579101563
57	0.35415649414063
58	0.333251953125
59	0.37322998046875
60	0.38101196289063
61	0.36529541015625
62	0.39505004882813
63	0.404052734375
64	0.40390014648438
65	0.42678833007813
66	0.40451049804688
67	0.43563842773438
68	0.44784545898438
69	0.43670654296875
70	0.41534423828125
71	0.43380737304688
72	0.46035766601563
73	0.49636840820313
74	0.49530029296875
75	0.48431396484375
76	0.50506591796875
77	0.54916381835938
78	0.5535888671875
79	0.53085327148438
80	0.54397583007813
81	0.552978515625
82	0.53085327148438
83	0.55450439453125
84	0.54824829101563
85	0.56915283203125
86	0.57785034179688
87	0.58334350585938
88	0.58029174804688
89	0.60653686523438
90	0.5987548828125
91	0.59280395507813
92	0.58929443359375
93	0.59906005859375
94	0.60623168945313
95	0.64743041992188
96	0.63201904296875
97	0.62774658203125
98	0.64895629882813
99	0.6781005859375
100	0.67733764648438
101	0.63186645507813
102	0.65933227539063
103	0.67459106445313
104	0.69808959960938
105	0.71090698242188
106	0.6878662109375
107	0.70953369140625
108	0.70358276367188
109	0.69671630859375
110	0.71731567382813
111	0.74249267578125
112	0.7647705078125
113	0.74508666992188
114	0.75042724609375
115	0.75057983398438
116	0.73898315429688
117	0.75531005859375
118	0.78048706054688
119	0.7440185546875
120	0.75027465820313
121	0.78811645507813
122	0.81085205078125
123	0.80902099609375
124	0.79544067382813
125	0.80520629882813
126	0.82550048828125
127	0.79742431640625
128	0.79696655273438
129	0.79421997070313
130	0.7861328125
131	0.82656860351563
132	0.797119140625
133	0.80245971679688
134	0.82260131835938
135	0.82717895507813
136	0.81375122070313
137	0.816650390625
138	0.82611083984375
139	0.84381103515625
140	0.87493896484375
141	0.867919921875
142	0.86593627929688
143	0.87677001953125
144	0.89370727539063
145	0.88302612304688
146	0.85891723632813
147	0.86151123046875
148	0.87112426757813
149	0.88577270507813
150	0.89553833007813
151	0.89141845703125
152	0.91796875
153	0.8935546875
154	0.91278076171875
155	0.92437744140625
156	0.9112548828125
157	0.93353271484375
158	0.91461181640625
159	0.92056274414063
160	0.926513671875
161	0.92819213867188
162	0.94009399414063
163	1.0005187988281
164	0.987548828125
165	1.0087585449219
166	1.0331726074219
167	1.0264587402344
168	1.0118103027344
169	1.0385131835938
170	1.0411071777344
171	1.0525512695313
172	1.0643005371094
173	1.0804748535156
174	1.0728454589844
175	1.053466796875
176	1.0385131835938
177	1.0403442382813
178	1.058349609375
179	1.0720825195313
180	1.0942077636719
181	1.0911560058594
182	1.0922241210938
183	1.119384765625
184	1.1117553710938
185	1.0939025878906
186	1.1264038085938
187	1.1334228515625
188	1.1019897460938
189	1.1164855957031
190	1.1370849609375
191	1.1129760742188
192	1.1181640625
193	1.1077880859375
194	1.1286926269531
195	1.1514282226563
196	1.1309814453125
197	1.1421203613281
198	1.1479187011719
199	1.173095703125
200	1.1767578125
201	1.187744140625
202	1.1930847167969
203	1.1592102050781
204	1.197509765625
205	1.199951171875
206	1.2260437011719
207	1.2345886230469
208	1.2297058105469
209	1.2246704101563
210	1.2409973144531
211	1.2461853027344
212	1.2278747558594
213	1.22802734375
214	1.2440490722656
215	1.21826171875
216	1.2429809570313
217	1.2779235839844
218	1.2586975097656
219	1.2544250488281
220	1.2881469726563
221	1.2773132324219
222	1.2641906738281
223	1.2440490722656
224	1.2554931640625
225	1.2315368652344
226	1.2333679199219
227	1.2535095214844
228	1.23779296875
229	1.2577819824219
230	1.2614440917969
231	1.2495422363281
232	1.2687683105469
233	1.2481689453125
234	1.2661743164063
235	1.2782287597656
236	1.2944030761719
